,Compound Score,Date,Negative Sentiment,Neutral Sentiment,Order Position,Positive Sentiment,Source,Tweet
110,0.1027,Sun Mar 11 19:52:47 +0000 2018,0.119,0.743,10,0.139,CNN,JUST IN: The White House is expected to unveil gun and school safety proposals Sunday https://t.co/h9ucmXTEwu https://t.co/zkpIB85soc
111,-0.3182,Sun Mar 11 19:45:06 +0000 2018,0.173,0.827,11,0.0,CNN,"Victims of California veterans home shooting lived ""to serve others"" https://t.co/dMh3ZInjTJ https://t.co/kKBTBjUYJ6"
112,0.0,Sun Mar 11 19:30:43 +0000 2018,0.0,1.0,12,0.0,CNN,"""I would only speak if I felt that I could be heard."" TV legend and philanthropist Oprah Winfrey discusses what she… https://t.co/KGzQSdTKO1"
113,0.25,Sun Mar 11 19:15:08 +0000 2018,0.109,0.729,13,0.161,CNN,"President Trump questions Rep. Maxine Waters' intelligence again, says she is ""a low IQ individual""… https://t.co/dNNeikovUO"
114,-0.7506,Sun Mar 11 19:00:13 +0000 2018,0.39,0.61,14,0.0,CNN,"When tragedy struck, athletes stepped up for a Florida high school https://t.co/nLTbM2hGht https://t.co/1ifqi4Vxqz"
115,0.0772,Sun Mar 11 18:45:04 +0000 2018,0.0,0.902,15,0.098,CNN,China clears way for President Xi Jinping to rule for life https://t.co/GXHecoZM5L https://t.co/yPQhBmscRH
116,-0.5095,Sun Mar 11 18:30:14 +0000 2018,0.215,0.785,16,0.0,CNN,The 64 most outrageous lines from President Trump's untethered Pennsylvania speech https://t.co/r3vR1XPK4D https://t.co/sLolInfQqS
117,0.0,Sun Mar 11 18:15:13 +0000 2018,0.0,1.0,17,0.0,CNN,"""Saturday Night Live"" parodied the season finale of ""The Bachelor"" in its cold open, but rather than a couple break… https://t.co/Tlomm97PAZ"
118,0.128,Sun Mar 11 18:00:14 +0000 2018,0.0,0.919,18,0.081,CNN,"Here's the methodology behind CNN's exclusive story, ""The more opioids doctors prescribe, the more money they make""… https://t.co/6Holhn9uKu"
119,0.0258,Sun Mar 11 17:45:07 +0000 2018,0.106,0.784,19,0.11,CNN,"Barack Obama's faith in US democracy made him blind to what would come, writes Julian Zelizer, as he and seven hist… https://t.co/FTxT16oh8x"
120,0.128,Sun Mar 11 17:30:04 +0000 2018,0.0,0.897,20,0.103,CNN,"CNN Exclusive: The more opioids doctors prescribe, the more money they make https://t.co/eAXuBJ1diw https://t.co/gcrT4jfpiU"
121,0.0,Sun Mar 11 17:15:06 +0000 2018,0.0,1.0,21,0.0,CNN,Wall Street is still trying to figure out which President Trump it'll get https://t.co/CYmOnyOIZW https://t.co/fFPsFhDTEu
122,0.0,Sun Mar 11 17:01:09 +0000 2018,0.0,1.0,22,0.0,CNN,"The papacy has ruled for 2,000 years. Now go back to the beginning of the Pope’s rise to power. #Pope premieres ton… https://t.co/gI3SrvhHav"
123,0.4019,Sun Mar 11 16:45:10 +0000 2018,0.0,0.828,23,0.172,CNN,"President Trump brags about his party's ""5-0"" record in House special elections https://t.co/vPSCfNDYeF https://t.co/imHxAcVfCB"
124,0.0,Sun Mar 11 16:30:07 +0000 2018,0.0,1.0,24,0.0,CNN,Northeast prepares for its 3rd winter storm in the past 10 days https://t.co/JoTRQetMZY https://t.co/Jc6CQmUv7G
125,-0.4215,Sun Mar 11 16:16:06 +0000 2018,0.128,0.872,25,0.0,CNN,"""Frankly, I just don't see how any senator can vote to weaken the regulations on Wall Street banks."" Democratic Sen… https://t.co/UElyMlyCl7"
126,0.0,Sun Mar 11 16:00:11 +0000 2018,0.0,1.0,26,0.0,CNN,Customers of a restaurant and a pub in the UK have been urged to wash their clothes as a precaution after traces of… https://t.co/D6mdjVheg6
127,-0.6486,Sun Mar 11 15:45:52 +0000 2018,0.187,0.813,27,0.0,CNN,"""We can't do what we did with Iran and let off the pressure and then just watch the behavior go in the wrong direct… https://t.co/Z8knp3MEam"
128,-0.6124,Sun Mar 11 15:30:12 +0000 2018,0.325,0.6,28,0.075,CNN,"US Defense Secretary James Mattis warns Syria against using chemical weapons, doubts Russian missile claims… https://t.co/SS2g8Prnq1"
129,0.2187,Sun Mar 11 15:00:15 +0000 2018,0.095,0.774,29,0.13,CNN,"66% of Millennials have nothing saved for retirement, a new report shows. Of those who do save, most have less than… https://t.co/LV5n4lhDKy"
130,0.4215,Sun Mar 11 14:45:03 +0000 2018,0.0,0.859,30,0.141,CNN,Video games do not teach people to become shooters in real life | By Lindsay Grace via @CNNOpinion… https://t.co/To5tJkefdd
131,0.0,Sun Mar 11 14:30:10 +0000 2018,0.0,1.0,31,0.0,CNN,"Local law says that ""every head of household residing in the city limits is required to maintain a firearm"" in Kenn… https://t.co/Nf0Lm30jOd"
132,-0.2732,Sun Mar 11 14:15:07 +0000 2018,0.139,0.861,32,0.0,CNN,11 tax deductions and other ways to cut your 2017 tax bill https://t.co/jq7skCHDUf https://t.co/EJkXr8jlW9
133,-0.3007,Sun Mar 11 14:03:27 +0000 2018,0.092,0.908,33,0.0,CNN,"Oprah says she's ""not running for office,""  but her advice for someone who might is ""do not give your energy to the… https://t.co/n2iTxgYjrl"
134,-0.2732,Sun Mar 11 14:01:04 +0000 2018,0.139,0.861,34,0.0,CNN,11 tax deductions and other ways to cut your 2017 tax bill https://t.co/QQ1nZJEfRJ https://t.co/D2DABt7h1W
135,-0.34,Sun Mar 11 13:31:02 +0000 2018,0.167,0.726,35,0.107,CNN,"Anthony C. Acevedo, the first Mexican-American to register as a Holocaust survivor, was a World War II medic and on… https://t.co/IQ14hNQBWr"
